QueryID	Number of annotations replaced	Best Match--BP Symmetric Profile IC	Best Match Similarity--BP Symmetric Profile IC	Best Match--BP Symmetric Annotation IC	Best Match Similarity--BP Symmetric Annotation IC	Best Match--BP Asymmetric Profile IC	Best Match Similarity--BP Asymmetric Profile IC	Best Match--BP Asymmetric Annotation IC	Best Match Similarity--BP Asymmetric Annotation IC	Best Match--AP Profile IC	Best Match Similarity--AP Profile IC	Best Match--AP Annotation IC	Best Match Similarity--AP Annotation IC	Best Match--BP Asymmetric Simj	Best Match Similarity--BP Asymmetric Simj	Best Match--BP Symmetric Simj	Best Match Similarity--BP Symmetric Simj	Best Match--AP Simj	Best Match Similarity--AP Simj
VTO_9009112	0	VTO_9009112	0.89	VTO_9009112	0.94	VTO_9009112	0.89	VTO_9009112	0.94	VTO_0059196	0.015	VTO_0059196	0.14	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.310959456
VTO_9009112	1	VTO_9009112	0.86	VTO_9009112	0.92	VTO_9009112	0.86	VTO_9009112	0.92	VTO_0059196	0.02	VTO_0079063	0.15	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.312241981
VTO_9009112	2	VTO_9009112	0.86	VTO_9009112	0.92	VTO_9009112	0.86	VTO_9009112	0.92	VTO_0037714	0.01	VTO_0079063	0.15	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.313093151
VTO_9009112	3	VTO_9009112	0.86	VTO_9009112	0.92	VTO_9009112	0.86	VTO_9009112	0.92	VTO_0079063	0.015	VTO_0079063	0.15	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.313093151
VTO_9009112	4	VTO_9009112	0.86	VTO_9009112	0.92	VTO_9009112	0.86	VTO_9009112	0.92	VTO_0059196	0.015	VTO_0079063	0.15	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.314148484
VTO_9009112	5	VTO_9009112	0.83	VTO_9009112	0.9	VTO_9009112	0.83	VTO_9009112	0.9	VTO_0038538	0.02	VTO_0079063	0.15	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.317308265
VTO_9009112	6	VTO_9009112	0.83	VTO_9009112	0.9	VTO_9009112	0.83	VTO_9009112	0.9	VTO_0011579	0.02	VTO_0011579	0.15	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.323477596
VTO_9009112	7	VTO_9009112	0.83	VTO_9009112	0.9	VTO_9009112	0.83	VTO_9009112	0.9	VTO_0059196	0.02	VTO_0033624	0.17	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.327446404
VTO_9009112	8	VTO_9009112	0.83	VTO_9009112	0.9	VTO_9009112	0.83	VTO_9009112	0.9	VTO_0060500	0.02	VTO_0033624	0.17	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.329825499
VTO_9009112	9	VTO_9009112	0.83	VTO_9009112	0.9	VTO_9009112	0.83	VTO_9009112	0.9	VTO_0060500	0.02	VTO_9016999	0.16	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.331908832
VTO_9009112	10	VTO_9009112	0.775	VTO_9009112	0.87	VTO_9009112	0.775	VTO_9009112	0.87	VTO_0002634	0.02	VTO_9016999	0.16	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.331908832
VTO_9009112	11	VTO_9009112	0.71	VTO_9009112	0.83	VTO_9009112	0.71	VTO_9009112	0.83	VTO_0034612	0.02	VTO_9016999	0.16	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.329825499
VTO_9009112	12	VTO_9009112	0.71	VTO_9009112	0.83	VTO_9009112	0.71	VTO_9009112	0.83	VTO_0034612	0.02	VTO_9016999	0.165	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.323477596
VTO_9009112	13	VTO_9009112	0.69	VTO_9009112	0.815	VTO_9009112	0.69	VTO_9009112	0.815	VTO_9006145	0.02	VTO_9016999	0.16	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.323477596
VTO_9009112	14	VTO_9009112	0.67	VTO_9009112	0.805	VTO_9009112	0.67	VTO_9009112	0.805	VTO_0060500	0.02	VTO_0002634	0.16	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.322656885
VTO_9009112	15	VTO_9009112	0.655	VTO_9009112	0.795	VTO_9009112	0.655	VTO_9009112	0.795	VTO_0060500	0.02	VTO_0004665	0.16	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.327446404
VTO_9009112	16	VTO_9009112	0.64	VTO_9009112	0.785	VTO_9009112	0.64	VTO_9009112	0.785	VTO_0060500	0.02	VTO_9016999	0.17	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.331908832
VTO_9009112	17	VTO_9009112	0.63	VTO_9009112	0.78	VTO_9009112	0.63	VTO_9009112	0.78	VTO_0059196	0.02	VTO_9016999	0.17	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.327446404
VTO_9009112	18	VTO_9009112	0.575	VTO_9009112	0.75	VTO_9009112	0.575	VTO_9009112	0.75	VTO_0059196	0.02	VTO_0033624	0.165	VTO_9031854	1	VTO_9031854	1	VTO_9022875	0.331908832
